epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.25099,3.79179,3.9595,3.13234,0.00174,0.5,0.49544,0.27256,2.45502,2.86092,2.25233,2e-05,2e-05,2e-05
2,3.70585,3.10765,3.66358,2.53016,0.00172,0.5,0.49544,0.26014,2.29902,2.97373,2.05004,5.802e-05,5.802e-05,5.802e-05
3,5.03517,3.09348,3.65338,2.46913,0.00338,1,0.66167,0.31421,1.50692,2.84841,1.76144,9.34e-05,9.34e-05,9.34e-05
4,6.42337,2.83725,3.26473,2.26108,0.00333,1,0.63786,0.30179,1.39893,2.75088,1.70123,0.00012614,0.00012614,0.00012614
5,7.83455,2.6504,2.95215,2.14293,0.00333,1,0.695,0.35258,1.60784,2.7532,1.71842,0.00015624,0.00015624,0.00015624
6,9.15725,2.37798,2.91042,1.97087,0.00333,1,0.695,0.35258,1.60784,2.7532,1.71842,0.0001837,0.0001837,0.0001837
7,10.5299,2.07379,2.62778,1.78681,0.00333,1,0.995,0.36728,2.14741,2.69692,1.74027,0.00020852,0.00020852,0.00020852
8,11.919,1.98715,2.44426,1.67525,0.00336,1,0.995,0.39717,2.17722,2.59129,1.68935,0.0002307,0.0002307,0.0002307
9,13.2421,1.60622,2.2076,1.56963,0.00336,1,0.995,0.39717,2.17722,2.59129,1.68935,0.00025024,0.00025024,0.00025024
10,14.5151,1.97356,2.07078,1.64287,0.00333,1,0.995,0.54621,1.83101,2.59056,1.59652,0.00026714,0.00026714,0.00026714
11,15.8371,1.62641,2.12601,1.57149,0.00333,1,0.995,0.54621,1.83101,2.59056,1.59652,0.0002814,0.0002814,0.0002814
12,17.1481,1.63507,1.98274,1.50403,0.00341,1,0.995,0.54704,1.71137,2.4336,1.62458,0.00029302,0.00029302,0.00029302
13,18.4719,1.50053,2.40121,1.52385,0.00341,1,0.995,0.54704,1.71137,2.4336,1.62458,0.000302,0.000302,0.000302
14,19.8029,1.64158,1.6516,1.36154,0.00341,1,0.995,0.54704,1.71137,2.4336,1.62458,0.00030834,0.00030834,0.00030834
15,21.1151,1.45703,1.7358,1.39027,0.00342,1,0.995,0.33752,1.94448,2.51557,1.63691,0.00031204,0.00031204,0.00031204
16,22.4629,1.4228,1.63548,1.34984,0.00342,1,0.995,0.33752,1.94448,2.51557,1.63691,0.0003131,0.0003131,0.0003131
17,23.8622,1.41308,2.06261,1.39158,0.00342,1,0.995,0.33752,1.94448,2.51557,1.63691,0.00031152,0.00031152,0.00031152
